040404, 20, 0  
860508, 20, 1  
870508, 20, 2  
860508, 20, 3  
870508, 20, 4  
140404, 20, 5  
160a09, 20, 6  
1c0808, 20, 7  
270708, 20, 8  
cf0608, 20, 9  
d70609, 20, 10  
ea7b63, 100, 11  
eb745a, 100, 12  
d02b25, 20, 13  
e1231e, 20, 14  
520407, 20, 15  
e2221f, 20, 16  
4a0407, 20, 17  
76090a, 20, 18  
75090a, 20, 19  
75090a, 20, 20  
360405, 20, 21  
390406, 20, 22  
470407, 20, 23  
520405, 20, 24  
d20505, 20, 25  
d20505, 20, 26  
d20505, 20, 27  
ea090e, 20, 28  
570406, 20, 29  
580406, 20, 30  
790c0e, 20, 31  
780c0e, 20, 32  
560a0d, 20, 33  
560a0e, 20, 34  
cd0a12, 20, 35  
c70910, 20, 36  
c60910, 20, 37  
7d0405, 20, 38  
7d0406, 20, 39  
b70609, 20, 40  
b80508, 20, 41  
ba0609, 20, 42  
1e6b09, 20, 43  
23850a, 20, 44  
23850a, 20, 45  
22850a, 20, 46  
22840a, 20, 47  
116107, 20, 48  
188209, 20, 49  
188209, 20, 50  
2c9c0d, 20, 51  
2d9c0d, 20, 52  
2d9c0d, 20, 53  
228807, 20, 54  
228907, 20, 55  
238907, 20, 56  
1f7d07, 20, 57  
1e7c07, 20, 58  
1f7d07, 20, 59  
088606, 20, 60  
089106, 20, 61  
20c009, 20, 62  
20c109, 20, 63  
55bf0b, 100, 64  
54be0b, 100, 65  
55c311, 100, 66  
56c311, 100, 67  
1c6207, 20, 68  
1c6207, 20, 69  
1f8809, 20, 70  
1f8709, 20, 71  
077408, 20, 72  
09880a, 20, 73  
08820a, 20, 74  
083a05, 20, 75  
093d05, 20, 76  
093c05, 20, 77  
0a6405, 20, 78  
0a6405, 20, 79  
078205, 20, 80  
078205, 20, 81  
074a05, 20, 82  
d9770b, 100, 83  
d6770b, 100, 84  
ce740a, 100, 85  
cf740a, 100, 86  
734108, 20, 87  
a05609, 20, 88  
9b5309, 20, 89  
ab610b, 20, 90  
2d190a, 20, 91  
f4c00d, 100, 92  
2a1709, 20, 93  
de750a, 100, 94  
de740a, 100, 95  
dd740a, 100, 96  
dd740a, 100, 97  
c44b07, 20, 98  
bf4b08, 20, 99  
bc4907, 20, 100  
c04606, 20, 101  
c34706, 20, 102  
dd3907, 20, 103  
d02a06, 20, 104  
c33e08, 20, 105  
c63f08, 20, 106  
64260a, 20, 107  
10114e, 20, 108  
0f0f48, 20, 109  
0f0e46, 20, 110  
050924, 20, 111  
304ba6, 20, 112  
284aaf, 20, 113  
c4c2d8, 100, 114  
294aa7, 20, 115  
09082f, 20, 116  
09082f, 20, 117  
09082f, 20, 118  
09082d, 20, 119  
060512, 20, 120  
060513, 20, 121  
060510, 20, 122  
0b0b32, 20, 123  
0a0a2d, 20, 124  
0a0a2c, 20, 125  
09092b, 20, 126  
060711, 20, 127  
060613, 20, 128  
090922, 20, 129  
0e0d35, 20, 130  
432ae3, 20, 131  
4133e5, 20, 132  
4133e5, 20, 133  
4133e5, 20, 134  
432ae3, 20, 135  
f0efe6, 100, 136  
f0f0e7, 100, 137  
